Unnamed: 0.1,Unnamed: 0,Text Blocks,Timestamp,Category,Company,Stock
133,133,"At BYD’s annual media conference in North District, news was sent to share with everyone: BYD’s upcoming EV series models in 2018 will be replaced with ternary lithium batteries, and the mileage will be upgraded. The model name will also become e5 450, For Qin EV450, Song EV400, and Yuan EV360, the battery life is respectively 450km, 400km, and 360km.​",2018-01-08,technical_innovation,BYD,BYDDY
134,134,"The ""3+2"" battery-grade lithium carbonate project of Qinghai Yanhu BYD Resource Development Co., Ltd. and Qinghai Yanhu Fozhao Lanke Lithium Industry Co., Ltd. officially started on the 3rd. The industry said that this will be the largest lithium carbonate project in China. Wang Chuanfu, chairman and president of BYD, said that sufficient lithium resources are crucial to the development of the country's new energy vehicle industry. BYD has mastered the lithium adsorbent preparation technology for extracting lithium from salt lake brine.",2018-01-19,technical_innovation,BYD,BYDDY
135,135,"On February 1, Jining City held a ceremony for the launch of the 2018 Spring Festival Transport and the centralized operation of BYD pure electric buses. The first batch of 66 BYD pure electric buses was officially put into operation. It is understood that Jining purchased a total of 800 BYD pure electric buses this time. Among them, there are 400 buses in Jining City, and currently 66 buses have been put into operation on 7 bus lines in Jining City. After the construction of charging piles is completed, all vehicles will be put into operation, and urban public transport will enter the era of ""zero pollution and zero emission"".",2018-02-01,sales_marketing,BYD,BYDDY
136,136,"A few days ago, we learned from BYD officials that the brand will launch four new models this year: e5 450, Qin EV 450, Song EV 400 and Yuan EV 360. In addition, the hybrid and 6-seater models of the new generation Tang and Song MAX will also be launched within this year. According to the official statement, the Yuan EV 360 is equipped with an intelligent network connection system, with a maximum cruising range of 360km and a price of less than 100,000 yuan.",2018-02-01,product,BYD,BYDDY
137,137,"Mr. Wang Chuanfu, Chairman and President of BYD Co., Ltd., and Mr. Zhao Changjiang, General Manager of BYD Auto Sales Co., Ltd. presented awards to outstanding dealers and took a group photo. A new era! Lead a new future! Let us wish BYD Auto another brilliant year in 2018!",2018-02-09,public_relations,BYD,BYDDY
138,138,"Wang Chuanfu delivered a 2018 New Year's message, saying that BYD people will continue to forge ahead with innovation and forge ahead, ""satisfying people's yearning for a better life with technological innovation"" and helping ""Smart Manufacturing in China"" embark on a new journey!",2018-02-13,public_relations,BYD,BYDDY
139,139,"BYD's H shares rose 4% before the market, after the state adjusted the subsidy policy for new energy vehicles",2018-02-14,stock,BYD,BYDDY
140,140,"The 2018 CCTV Spring Festival Gala opened grandly, the opening ceremony of the Zhuhai sub-venue in Guangdong, BYD’s Spring Festival Gala performance was perfectly presented, and BYD’s unmanned new energy fleet dedicated a wonderful performance to the people of the whole country, making Guangdong’s technology shine on the Zhuhai-Hong Kong-Macao Bridge. May the motherland prosper and prosper, and wish Chinese compatriots all over the world ""great luck in the New Year and prosperity in the Year of the Dog"". BYD Auto is here to wish you New Year greetings!",2018-02-15,public_relations,BYD,BYDDY
141,141,"Song MAX's ""Year-end Award"" has been launched. Song MAX is specially prepared by international masters for mainstream families in China, perfectly satisfying the family's dream of ""more perfect together"" travel. In just 4 months, it has successively won 27 authoritative awards such as ""Annual Damei Seven-seater Model"", ""Most Popular MPV"", and ""Best MPV Model"", becoming the most dazzling star model in the Chinese family car market. In 2018, let us continue to look forward to more and better innovations from BYD!",2018-02-16,technical_innovation,BYD,BYDDY
142,142,BYD ranked 138th in the 2018 BrandZ China Global Brand Ranking,2018-02-17,sales_marketing,BYD,BYDDY
143,143,"few days ago, ""Stock God"" Buffett's 2018 letter to shareholders was officially released. In an interview with the media a few days ago, he made the latest statement: the 4 CEOs he admires most are Amazon CEO Jeff Bezos, BYD Wang Chuanfu, and Apple CEO. CEO Cook, CEO of Precision Machinery Company Donegan. When talking about why he invested in BYD, Buffett said, ""At first, his partner Charlie Munger suggested that he must invest in BYD. Charlie Munger said that Wang Chuanfu is better than Edison, and later changed his words that Wang Chuanfu is a combination of Edison and Bill Gates. Facts have proved that He's right, BYD is doing very well.""",2018-02-27,public_relations,BYD,BYDDY
144,144,Pre-sale of BYD's 2018 pure electric vehicles starts,2018-02-24,product,BYD,BYDDY
145,145,"BYD made the right prediction on the policy trend in 2018, and took the lead when most of its opponents waited to see the changes, and made targeted improvements, so that the new car has excellent performance in terms of cruising range, battery energy density, and electronic control system. Significant improvements have been made, making its pure electric vehicles well meet the requirements of the New Deal, making a good start for the development in 2018",2018-02-26,sales_marketing,BYD,BYDDY
146,146,"After multiple exposures, BYD officially announced a few days ago that the new generation Tang will be released in Shenzhen on March 6, 2018. The new car adopts BYD's new Dragon Face design language, which was designed by former Audi design director Wolfgang Eiger. In terms of power, the new generation Tang will provide a 2.0T engine and a 2.0T+ plug-in hybrid system. The 2.0T fuel version has a maximum power of 205 horsepower, and the hybrid version has a maximum power of more than 500 horsepower. The 0-100km/h acceleration time is expected to be 4.5 seconds.",2018-02-28,product,BYD,BYDDY
147,147,"How to deal with the storm in the battery industry? BYD's overseas exhibition revealed its future plan for the first time. Release time: 2018-03-02 ""Battery is the core of electric vehicles and energy storage equipment. In response to the outbreak of the battery market in the future, BYD has proposed a 'sustainable development plan' for the battery business.",2018-02-02,sales_marketing,BYD,BYDDY
148,148,"On March 1, 2018, the new BYD F3 was officially launched, with a price of 43,900 yuan to 65,900 yuan. The appearance has not changed much. The main configuration has been adjusted, such as Keyless keyless system, BOS brake priority system and other configurations have been added. And the price has been lowered as a whole, which is quite sincere. In terms of power, the current 1.5L naturally aspirated engine is used, with a maximum power of 109 horsepower and a maximum torque of 145 N•m. It is matched with 5-speed manual or 6-speed automatic manual transmission.",2018-03-01,cost,BYD,BYDDY
149,149," In January 2018, the traditional off-season for passenger car sales, BYD's new energy vehicles ushered in a good start with a leading attitude, selling 7,151 units, a year-on-year increase of 1,082%. In the field of plug-in hybrids with higher technical thresholds, BYD sold 7,109 vehicles, a year-on-year increase of about 1,363%, setting the best result in the same period in history, and starting the new year's journey with a high profile.",2018-03-06,sales_marketing,BYD,BYDDY
150,150,"In February 2018, sales of new energy passenger vehicles reached 29,000, with BYD, BAIC, and JAC ranking the top three",2018-03-09,sales_marketing,BYD,BYDDY
